id,title,word2vec
6944,腹黑VS呆萌：竹马诱青梅,"[-0.016968510708829855,-0.011058532010065392,0.10786423861281946,-0.14618350657983684,-0.10411797162523727]"
6943,无敌天尊,"[-0.22570700595593626,0.04627945090589278,-0.04945103632395758,-0.0011048751253196422,0.03545221939395346]"
6942,特工女帝：吾凰万万岁,"[-0.09905283595435321,0.13360711569112027,-0.053525236848372515,0.05119848879985511,-0.036231139121809974]"
6941,穿成男主糟糠妻+番外,"[-0.005856193415820598,0.10019125795923174,-0.017780221197754145,-0.054023538418114185,-0.1016752344928682]"
6940,伪宋杀手日志,"[-0.07063595638371621,0.04073278517880214,-0.04082346152370939,0.01201086325976902,-0.03819192143437715]"
6939,帝宠之惊世凰妃,"[-0.049379720559301905,0.03146070959524084,-0.05478300314802581,-0.014391899780513575,-0.06894684412952465]"
6937,特工王妃太嚣张,"[-0.07261156282303008,0.08678031310608442,-0.0865740828792861,0.014005233861759983,-0.07090690788357858]"
6936,她美貌撩人,"[-0.03428500147912508,-0.047255792440130166,0.0018871217572058623,0.036718126717739955,-0.2454046216936639]"
6935,天价闪婚：顾少花式宠妻,"[-0.08368549313662307,-0.02782364020323647,-0.023155982239404693,-0.0358431760042939,-0.041034155039648926]"
6934,野蛮医妃,"[-0.05919550919594864,0.11153712222197404,-0.05876131895347498,0.002678809454664588,-0.07451116386801004]"
6933,修仙归来在校园,"[-0.08538054324647722,0.01614378733211197,-0.051135893901421994,-0.006346020697189184,-0.03646452309718976]"
6932,段如兰钟明巍,"[-0.26737031018869445,0.34234264127867803,-0.10434227961708199,0.17047079360451212,0.12973598517816176]"
6931,情书六十页,"[-0.019777853375611207,0.06329954729202047,-0.05999370502455956,-0.0574022286455147,-0.03837889819405973]"
6930,弃妇当嫁，神秘夫君田园妻,"[-0.028872707797611346,0.029718291510629363,-0.026129702239709555,-0.00557883073896414,-0.04153768192274405]"
6928,万道神尊,"[-0.055116915723395554,0.07244030718669989,-0.06655148949019264,-0.00038559879663638594,0.007890076289863088]"
6924,军阀盛宠：少帅，娇妻不可欺,"[-0.05591960574707223,0.036795147477985464,-0.025310503878346127,-0.006095387122412729,-0.051104204428459823]"
6922,劫天命,"[-0.09067488757564741,0.05499050388222231,-0.02016320128870361,0.020656824235201758,-0.08483411831890836]"
6919,萌娘三国演义,"[-0.06355430659331272,-0.013062179411302648,-0.005850061285480692,-0.01091489041402169,-0.025367743078865766]"
6918,鹤唳华亭：惊心动魄的宫廷权谋,"[-0.05301652679831457,0.07667224477531749,-0.03469038243864232,0.0026878015200760383,7.866512907585547e-05]"
6914,情深赋流年,"[-0.1017795010266127,-0.039036639253026806,-0.04644977978023235,-0.056339639966608956,-0.07850019761826843]"
6913,我的绝品娇妻,"[-0.16357354824209497,-0.053545520967981285,-0.04224794299253041,-0.05026690231724864,-0.05110377400913941]"
6910,清穿之娇宠舒妃,"[-0.057403239371654174,0.06530333750976881,-0.054489824584119814,0.015152176072920805,-0.055459762449442805]"
6909,皇家女法医,"[-0.0746881594392471,0.06609384084120393,-0.042197095508454366,0.014065314875915646,0.0022613757965154946]"
6908,重生豪门：霍少暖妻狠撩人,"[-0.09075746422922108,0.008261496699611905,-0.05479215618557441,-0.0454075256605226,-0.06088938764755575]"
6907,夫人，大帅又在作死了,"[-0.12948652516330048,0.014870660555250239,-0.001975087756466753,8.088394226330631e-05,-0.02724625241397968]"
6906,极品透视狂兵,"[-0.09268294944195077,-0.038576051039854065,-0.059895592662845346,-0.07387691921030637,-0.08637597001506947]"
6905,腹黑上司住隔壁,"[-0.09984740466308338,-0.01423166699609474,-0.05544024289242531,-0.02658514038653505,-0.0429928958612053]"
6902,天下无双：王妃太嚣张,"[-0.049873881410652146,0.04118020566076868,-0.03481089631181762,-0.02184715319459361,-0.04126915795280149]"
6900,毒医萌宝：娘亲，父皇又来逼婚了,"[0.008038757123156553,0.055938912536172815,0.03793339954508054,-0.11785107002490096,-0.12948926362959254]"
6897,江山策：妖孽成双,"[-0.08755746889368607,0.005825026142505325,-0.019501935103058664,-0.01228230111804363,-0.0358521758415107]"
6896,再生缘：我的温柔暴君+番外,"[-0.1065418052508734,0.024770675749561294,-0.04035531149819753,-0.011824725661426783,-0.004193513448415107]"
6895,妈咪快逃，父皇杀来了,"[-0.06482264815041652,0.011092637712135912,-0.005028916648230874,-0.035289373255979556,-0.04703024970367551]"
6894,进击的大内密探,"[-0.07150693708469838,0.0468454917043511,-0.03207024820783937,0.00910428014123516,-0.016919387504458427]"
6892,军帝隐婚：重生全能天后,"[-0.08709093840058668,-0.010909302999559594,-0.023783972366608824,-0.042879648332018405,-0.0337993851686693]"
6890,韶光不负转流年,"[-0.05410417107244332,0.03182266078676963,-0.018304366247703957,-0.01651657031228145,-0.04001860183320547]"
6889,双面总裁宠妻如宝,"[-0.05198747199416781,-2.633218343059222e-05,0.01129108415528511,-0.01282561713984857,-0.04727134610681484]"
6888,霸道总裁深度宠,"[-0.11461060424082224,-0.06341697092073552,-0.023105500245709783,-0.08852304263964997,-0.09505788807966409]"
6887,空间农女：猎户相公来种田,"[-0.04209970486471834,0.018733801446733592,-0.0611819278286851,-0.03583736729848644,-0.08237469335511813]"
6885,佳妻清婳,"[-0.06331452206971956,-0.003627360418536945,-0.03975592979603741,-0.0442051362050207,-0.03886743797614288]"
6882,木叶的上下五十年,"[-0.15334191840762892,-0.023549374348173537,-0.036448861695438,-0.011481055960757658,-0.07963925452592471]"
6879,萌妻重生：席少，别乱撩,"[-0.05257695964891228,0.027983151647391954,-0.05523641585796788,-0.020206226047004654,-0.06667718809109795]"
6876,厂花护驾日常,"[-0.039381527420520396,0.056935593443499376,-0.029992656688532467,0.005427588648223258,-0.023893955513659575]"
6875,重生兽世之血色红莲,"[-0.049584241528507496,0.06426696494842568,-0.09111855675776799,-0.010958082663516203,-0.07103797189830359]"
6874,三生三世枕上书,"[-0.03885978698204069,0.07865458553103541,-0.0476036059941786,0.006909934655371783,-0.013132817861016678]"
6873,圣医狂少,"[0.023260599518245138,0.051106074051711255,-0.007252975639169784,-0.04459664406651329,-0.0640905982078481]"
6872,奉子闪婚：鲜妻不准逃,"[-0.15825296179779494,-0.07083934285522749,-0.0017716093328393374,-0.05404007067651643,-0.059242134363254685]"
6870,夫人，夜深了,"[-0.07464117034017874,0.031613968835811905,-0.0361985200154914,-0.005740996054692627,-0.03639505913940398]"
6867,凤帝九倾,"[-0.059795092741216097,-0.014992321929835442,-0.023220285449082716,-0.047653303873619136,-0.05100634475341774]"
6864,曾是惊鸿照影来,"[-0.15282335593171106,0.15027901402208954,-0.08787425731619199,0.05635914543139127,-0.002204653651763995]"
6863,渣男洗白手册[快穿],"[-0.027499291449203156,0.15145633631618693,-0.2870561383024324,-0.016116010468977038,-0.0762825109413825]"
6862,盛嫁无双：神医王爷不良妃,"[-0.03695643344181008,0.07321973317302764,-0.050013200041212263,-0.023953632003394888,-0.04027556116343476]"
6860,巅峰武者,"[-0.04771025856542918,0.10447265845895917,-0.08488586972709054,0.04344745790499642,-0.04785670371105273]"
6858,总裁夜敲门：萌妻哪里逃,"[-0.12613686121379336,0.05243134891303877,-0.0016982515497754017,0.005024312634486705,-0.02604326804478963]"
6857,隔壁那个坏书生,"[-0.1464432793113196,0.01959362002607021,-0.014778427016507419,-0.03248124231322436,-0.005637332037117125]"
6856,一树梨花惹相思,"[-0.09750173349554339,0.04858623318640249,-0.03385096597706987,-0.00831392766641719,-0.018709074794536543]"
6854,全能之天才学生,"[-0.026593196669924317,0.026023571387141647,-0.06108260312650696,-0.05287701101655042,-0.07892265801906193]"
6853,闪婚甜妻，总裁大人难伺候！,"[-0.034862514814486746,-0.12040380342412241,-0.08710200420686418,0.09960364082980584,-0.2694981293944815]"
6852,医妃无价，冷王的神秘贵妻,"[-0.14653882855418487,0.014154189055261668,-0.020476137258810923,-0.028320578450802714,-0.024648310121847317]"
6851,萌妻甜甜圈：亿万暖婚第7天,"[-0.09349234581518258,0.008929224846194957,-0.029850770888814725,-0.02469620688765345,-0.03835601169804606]"
6849,通天仙路,"[-0.3074844453919631,-0.2890624515771961,0.09529819250560533,-0.1600624005957984,-0.03853220728715547]"
6848,职美上司,"[-0.07109993979975116,0.060761985349624105,-0.019147227487034492,0.0036906070890836418,0.010497024360423286]"
6847,豪门闪婚甜如蜜,"[-0.04255179460192771,0.0302001985870043,-0.044081620099152334,-0.02413069970740859,-0.05462775101316058]"
6846,帝少夺心小逃妻,"[-0.07124117506262134,-0.035607307971481025,0.0013603999476698744,-0.11148440705195146,-0.14431158518548018]"
6845,御繁华,"[-0.016075082612753085,0.05431962507480586,0.039549211749214344,-0.07830545206723566,-0.11065034576776353]"
6844,重生千金无限宠,"[-0.045612817410838565,0.0294655112421437,-0.07201508513611296,-0.03974534139590527,-0.06862293461850588]"
6843,心尖制爱,"[-0.05387741171682752,-0.003327388973893519,-0.04963997828538044,-0.06362621192525234,-0.08443488450852078]"
6842,宠妻36计：壁咚，慕先生,"[-0.04313245701263774,0.005091246191254804,-0.043289309894685754,-0.01797250125878556,-0.0487568109217559]"
6841,鸾凤替，皇的神秘隐妃,"[-0.09377104682726381,0.004973612604257853,0.02560180591662293,-0.0056668417680117746,-0.015432377264875433]"
6838,盛世婚宠：霸道老公好缠人,"[-0.07674266422953702,-0.020062471686511256,-0.04656617968633282,-0.04226570979111874,-0.08618720802363986]"
6836,一宠成瘾：娇妻无处逃,"[-0.18498707981780171,0.20815634727478027,-0.06935486470216086,0.0782804695523477,0.06149474844070417]"
6835,闪婚容易离婚难,"[-0.044540845753871044,0.002201550376583945,-0.022917642411863746,-0.011603615668444138,-0.05879947963996597]"
6834,天降奶爸俏总裁,"[-0.1563623654232784,-0.01013146573677659,-0.0393882339227606,-0.03329488503831354,-0.011844065548344091]"
6833,爱入深海：薄情不负,"[-0.09566759508535531,0.058988002073463226,-0.05747489221504933,0.00928823538179997,-0.01916723611897656]"
6832,亿万爹地天价宠,"[-0.052820241685620835,-0.022855766109938995,-0.03340447466194508,-0.06323825645825414,-0.10593851162960417]"
6831,豪门闪婚：总裁霸道宠,"[-0.10249595550448519,-0.04643900079342226,-0.01547717058769705,-0.055345135577545876,-0.08325503191404175]"
6826,地府建设计划书,"[-0.09505886694585736,0.15762413514312357,-0.04260025605220687,0.05686062411405146,0.015723756249909373]"
6825,专治不服：这个草包惹不得,"[-0.03755329931327314,0.03698252779604108,-0.04208049929361606,0.011433901877521916,-0.024293239004220122]"
6824,我的鬼丈夫,"[-0.10696257611450094,-0.037302217565667935,-0.006847464288465488,-0.05710158612241801,-0.05263893115214812]"
6823,楚洛寒龙枭,"[-0.16077275201678276,0.15441085603088142,-0.103658711258322,0.024671209929510954,-0.03124471250921488]"
6822,陌上烟雨心上尘,"[-0.14936309664335568,-0.008770537097007036,-0.030174340587109327,-0.04176731820916757,-0.060472165525425225]"
6821,我的邻家空姐,"[-0.09163610026581397,-0.02243623077134851,-0.02050938823876876,-0.05260570570301842,-0.03273871530365514]"
6820,蜜宠娇妻萌萌哒,"[-0.19593681213332387,-0.09332504093919586,-0.029138254955774403,-0.09699107055472801,-0.0831612639765187]"
6819,网游之末日剑仙,"[-0.09102437634553227,0.0806461018776255,-0.06716966180330408,0.03786990343859153,-0.06811763557239568]"
6818,穿成男主师尊了,"[-0.05705510924259821,0.12267934943859776,-0.07475758741299311,0.0771837893485402,-0.10249906219542027]"
6817,快穿女配：叮！你已被boss锁定,"[-0.02707624581775495,0.049845930435979846,-0.05416645769181908,-0.021357360633318216,-0.09866367808866257]"
6815,神医小萌妃：帝尊，太难撩！,"[-0.0603873382949262,0.024142962311660604,-0.06406167318096517,-0.029194651417700307,-0.04863615036343357]"
6812,女扮男装之公子倾城,"[-0.18295696321874858,0.00506347758429391,-0.17439549578619853,-0.07438779094788645,0.015108293667435645]"
6810,国民校草求抱抱,"[-0.07526280987827527,-0.034282625757998994,-0.02585585380063182,-0.043507693640534736,-0.0818841969894786]"
6809,至尊狂魔,"[-0.12270311011439737,0.0438232450362514,-0.04156105627086671,-0.037226530120653266,-0.01866248278769062]"
6808,萌宝来袭：妈咪别想逃,"[-0.07184313297255944,-0.0209590537272299,-0.004013842117767465,-0.025872418041325222,-0.05261134765884381]"
6806,快穿：反派不按套路来！,"[-0.025210410409437663,0.0011372296633481076,-0.032118357848517146,-0.03298996820707213,-0.08290815637023612]"
6805,至尊高手在都市,"[-0.12830200297240582,0.11750390644495685,-0.10717517397521684,0.04683275056110384,0.010772695247497823]"
6804,我的合租老婆,"[-0.05090852701586896,0.03427057999089874,-0.03998576224669172,-0.020961354591016626,-0.018072507972427612]"
